id,bt_random,bt_rank,bt_attack,bt_center,N,rankdist
40001,0,2,0,0,4,915
40002,2,1,0,1,4,335
40003,0,0,0,0,4,553
40004,1,4,2,0,4,195
40005,1,2,0,0,4,539
40006,3,1,0,0,4,999
40007,1,1,2,1,4,951
40008,1,0,2,0,4,355
40009,1,1,0,0,4,193
40010,1,0,4,0,4,391
40011,2,1,0,1,4,955
40012,0,1,2,0,4,333
40013,1,0,1,0,4,353
40014,2,2,2,0,4,155
40015,1,2,0,1,4,513
40016,1,0,1,0,4,551
40017,0,0,1,0,4,339
40018,1,1,1,0,4,995
40019,2,2,1,0,4,155
40020,1,2,1,0,4,551
40021,1,2,0,1,4,551
40022,1,0,2,0,4,559
40023,1,1,2,0,4,919
40024,0,0,0,0,4,991
40025,2,0,3,2,4,539
40026,0,0,0,0,4,351
40027,0,0,1,0,4,533
40028,1,0,0,0,4,399
40029,1,0,0,0,4,555
40030,2,1,3,0,4,353
40031,1,0,0,0,4,955
40032,1,3,0,0,4,319
40033,1,1,1,1,4,335
40034,1,2,0,0,4,959
40035,1,1,1,0,4,519
40036,0,0,0,0,4,355
40037,1,1,1,1,4,555
40038,0,0,0,0,4,991
40039,2,1,2,1,4,359
40040,1,1,3,2,4,195
40041,1,0,2,0,4,555
40042,1,0,2,0,4,955
40043,1,1,0,0,4,595
40044,1,2,2,0,4,195
40045,1,3,0,2,4,919
40046,1,1,1,1,4,151
40047,0,0,1,0,4,511
40048,1,2,2,1,4,555
40049,1,0,1,0,4,391
40050,0,0,0,0,4,331
40051,3,2,2,2,4,595
40052,0,0,0,0,4,933
40053,0,0,0,0,4,355
40054,3,3,2,0,4,551
40055,2,0,1,0,4,555
40056,0,0,2,0,4,935
40057,1,0,0,0,4,315
40058,1,1,0,1,4,519
40059,1,1,0,1,4,355
40060,1,0,3,0,4,553
40061,0,0,0,0,4,515
40062,1,0,0,0,4,911
40063,0,0,0,0,4,139
40064,0,0,0,0,4,551
40065,1,0,0,0,4,539
40066,1,0,0,0,4,595
40067,1,0,1,0,4,155
40068,0,0,0,0,4,539
40069,1,0,0,0,4,913
40070,0,0,1,0,4,555
40071,0,1,0,1,4,359
40072,0,0,0,0,4,159
40073,1,3,0,0,4,955
40074,1,1,1,0,4,595
40075,2,0,1,0,4,391
40076,1,2,1,0,4,595
40077,1,0,1,0,4,919
40078,0,0,2,0,4,953
40079,0,0,0,0,4,999
40080,1,0,1,0,4,913
40081,2,1,3,1,4,519
40082,0,0,0,0,4,535
40083,2,3,3,1,4,915
40084,2,4,2,1,4,953
40085,1,0,0,0,4,913
40086,1,0,0,0,4,595
40087,1,0,0,0,4,959
40088,4,1,1,3,4,513
40089,1,1,1,0,4,553
40090,0,0,0,0,4,313
40091,1,0,2,0,4,131
40092,1,0,2,0,4,513
40093,1,0,1,0,4,591
40094,0,0,0,0,4,935
40095,1,0,3,0,4,515
40096,1,3,0,1,4,595
40097,1,1,2,0,4,151
40098,2,2,0,0,4,939
40099,1,0,2,0,4,595
40100,2,0,0,0,4,351
40101,0,0,0,0,4,591
40102,1,1,0,0,4,395
40103,0,0,5,0,4,911
40104,0,0,0,0,4,311
40105,1,1,0,2,4,533
40106,1,0,3,0,4,311
40107,1,0,1,0,4,115
40108,1,1,0,0,4,593
40109,0,0,0,0,4,335
40110,2,0,1,0,4,355
40111,0,0,0,0,4,553
40112,3,0,4,0,4,193
40113,2,4,2,0,4,955
40114,0,0,0,0,4,315
40115,0,0,0,0,4,539
40116,0,0,0,0,4,313
40117,0,0,0,0,4,139
40118,1,0,2,0,4,355
40119,0,0,0,0,4,335
40120,0,0,0,0,4,591
40121,0,0,1,0,4,939
40122,5,4,0,1,4,555
40123,0,0,0,0,4,351
40124,2,0,1,0,4,511
40125,0,0,1,0,4,553
40126,1,0,0,0,4,593
40127,1,0,0,0,4,559
40128,0,0,1,0,4,539
40129,1,2,0,1,4,953
40130,1,0,0,0,4,319
40131,0,0,0,0,4,515
40132,0,0,1,0,4,119
40133,0,0,2,0,4,191
40134,1,0,0,0,4,933
40135,0,0,0,0,4,135
40136,1,0,0,0,4,531
40137,1,1,3,0,4,155
40138,0,0,0,0,4,953
40139,2,2,2,0,4,551
40140,1,0,2,0,4,131
40141,1,2,0,0,4,395
40142,0,1,0,0,4,355
40143,0,0,0,0,4,555
40144,1,0,1,0,4,355
40145,5,1,9,1,4,933
40146,0,0,0,0,4,995
40147,1,0,3,0,4,519
40148,0,0,0,0,4,911
40149,1,2,0,0,4,555
40150,2,1,0,0,4,559
40151,2,1,1,1,4,951
40152,1,0,2,0,4,535
40153,0,0,0,0,4,311
40154,1,0,0,0,4,999
40155,3,1,1,2,4,335
40156,0,0,2,0,4,555
40157,1,0,1,0,4,195
40158,1,2,1,0,4,155
40159,0,0,0,0,4,513
40160,0,0,2,0,4,959
40161,1,1,2,0,4,191
40162,1,0,3,0,4,113
40163,1,0,1,0,4,553
40164,0,0,0,0,4,153
40165,1,1,1,1,4,553
40166,1,0,1,0,4,335
40167,1,1,1,1,4,119
40168,1,0,3,0,4,553
40169,1,1,2,0,4,519
40170,1,0,1,0,4,395
40171,2,0,3,0,4,351
40172,1,0,2,0,4,513
40173,0,0,2,0,4,111
40174,1,0,2,0,4,555
40175,0,0,3,0,4,115
40176,1,0,1,0,4,555
40177,2,2,2,0,4,151
40178,1,0,1,0,4,331
40179,1,0,0,0,4,919
40180,3,1,7,0,4,533
40181,3,1,8,0,4,535
40182,0,0,0,0,4,939
